town_code,party_code,acronym,name,votes,seats
02039,4252,P.P.,PARTIDO POPULAR,491,5
02039,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,354,4
02040,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,299,4
02040,4252,P.P.,PARTIDO POPULAR,234,3
02041,4252,P.P.,PARTIDO POPULAR,211,5
02041,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,75,2
02042,4252,P.P.,PARTIDO POPULAR,339,5
02042,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,339,4
02043,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,534,5
02043,4252,P.P.,PARTIDO POPULAR,516,4
02044,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,412,5
02044,4252,P.P.,PARTIDO POPULAR,342,4
02045,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,1156,5
02045,3380,GANEMOS-IU,IZQUIERDA UNIDA-GANEMOS MADRIGUERAS,1151,4
02045,4252,P.P.,PARTIDO POPULAR,679,2
02046,4252,P.P.,PARTIDO POPULAR,566,5
02046,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,394,4
02047,4252,P.P.,PARTIDO POPULAR,77,5
02047,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,16, 
02048,4252,P.P.,PARTIDO POPULAR,586,5
02048,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,480,4
02049,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,427,5
02049,4252,P.P.,PARTIDO POPULAR,213,2
02050,4252,P.P.,PARTIDO POPULAR,40,3
02050,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,36,2
02051,4252,P.P.,PARTIDO POPULAR,694,7
02051,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,393,4
02052,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,205,4
02052,4252,P.P.,PARTIDO POPULAR,155,3
02052,3395,GANEMOS-IU,IZQUIERDA UNIDA-GANEMOS MOTILLEJA,51, 
02053,4252,P.P.,PARTIDO POPULAR,1003,5
02053,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,899,4
02053,2455,GANEMOS,GANEMOS MUNERA,425,2
02054,4252,P.P.,PARTIDO POPULAR,189,4
02054,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,142,3
02055,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,428,5
02055,4252,P.P.,PARTIDO POPULAR,422,4
02055,1456,C's,CIUDADANOS-PARTIDO DE LA CIUDADANIA,61, 
02056,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,682,5
02056,4252,P.P.,PARTIDO POPULAR,597,5
02056,0687,A.O.I.,AGRUPACION ONTUREÑA INDEPENDIENTE,143,1
02057,4252,P.P.,PARTIDO POPULAR,680,5
02057,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,620,4
02057,3403,GANEMOS-IU,IZQUIERDA UNIDA-GANEMOS OSSA DE MONTIEL,297,2
02058,4252,P.P.,PARTIDO POPULAR,103,3
02058,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,92,2
02058,3405,GANEMOS-IU,IZQUIERDA UNIDA-GANEMOS PATERNA DEL MADERA,88,2
02060,4252,P.P.,PARTIDO POPULAR,700,6
02060,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,324,3
02059,3407,GANEMOS-IU,IZQUIERDA UNIDA-GANEMOS PEÑASCOSA,136,4
02059,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,83,2
02059,4252,P.P.,PARTIDO POPULAR,53,1
02061,4252,P.P.,PARTIDO POPULAR,315,4
02061,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,191,3
02062,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,173,4
02062,4252,P.P.,PARTIDO POPULAR,123,3
02901,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,763,5
02901,4252,P.P.,PARTIDO POPULAR,713,4
02901,0133,ALPO,AGRUPACION DE ELECTORES ALTERNATIVA POZO CAÑADA,319,2
02063,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,597,5
02063,4252,P.P.,PARTIDO POPULAR,253,2
02063,0570,AINPHO,AGRUPACION INDEPENDIENTE DE POZOHONDO,248,2
02063,3409,GANEMOS-IU,IZQUIERDA UNIDA-GANEMOS POZOHONDO,37, 
02064,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,207,5
02064,4252,P.P.,PARTIDO POPULAR,116,2
02065,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,234,4
02065,4252,P.P.,PARTIDO POPULAR,187,3
02066,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,110,4
02066,4252,P.P.,PARTIDO POPULAR,106,3
02067,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,558,5
02067,4252,P.P.,PARTIDO POPULAR,403,4
02068,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,160,4
02068,4252,P.P.,PARTIDO POPULAR,104,3
02069,4252,P.P.,PARTIDO POPULAR,4046,9
02069,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,2384,5
02069,3372,GANEMOS-IU,IZQUIERDA UNIDA-GANEMOS LA RODA,1240,3
02070,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,312,6
02070,4252,P.P.,PARTIDO POPULAR,49,1
02071,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,533,5
02071,4252,P.P.,PARTIDO POPULAR,475,4
02072,3423,GANEMOS-IU,IZQUIERDA UNIDA-GANEMOS SOCOVOS,577,4
02072,4252,P.P.,PARTIDO POPULAR,377,3
02072,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,249,2
02072,5311,VPSP,VECINOS POR SOCOVOS Y PEDANIAS,77, 
02073,4252,P.P.,PARTIDO POPULAR,1541,6
02073,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,1149,4
02073,3425,GANEMOS-I.U.,IZQUIERDA UNIDA-GANEMOS TARAZONA,703,3
02073,1456,C's,CIUDADANOS-PARTIDO DE LA CIUDADANIA,180, 
02074,4252,P.P.,PARTIDO POPULAR,1793,6
02074,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,1573,5
02074,4494,P.C.d.T.,PLATAFORMA CIUDADANA DE TOBARRA,805,2
02075,4252,P.P.,PARTIDO POPULAR,708,5
02075,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,610,4
02075,3430,GANEMOS-IU,IZQUIERDA UNIDA-GANEMOS VALDEGANGA,139, 
02076,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,169,4
02076,4252,P.P.,PARTIDO POPULAR,123,3
02077,4252,P.P.,PARTIDO POPULAR,33,2
02077,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,16,1
02078,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,447,6
02078,4252,P.P.,PARTIDO POPULAR,289,3
02079,4252,P.P.,PARTIDO POPULAR,807,4
02079,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,797,4
02079,3435,GANEMOS-IU,IZQUIERDA UNIDA-GANEMOS VILLAMALEA,655,3
02080,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,246,4
02080,4252,P.P.,PARTIDO POPULAR,221,3
02081,4252,P.P.,PARTIDO POPULAR,5488,10
02081,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,4576,9
02081,4724,SPV,SE PUEDE VILLARROBLEDO,1014,1
02081,3436,GANEMOS-IU,IZQUIERDA UNIDA-GANEMOS VILLARROBLEDO,705,1
02081,1456,C's,CIUDADANOS-PARTIDO DE LA CIUDADANIA,627, 
02081,1473,CIVI,CIUDADANOS POR VILLARROBLEDO,599, 
02082,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,57,4
02082,4252,P.P.,PARTIDO POPULAR,20,1
02083,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,116,4
02083,4252,P.P.,PARTIDO POPULAR,60,1
02084,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,145,4
02084,4252,P.P.,PARTIDO POPULAR,119,3
02085,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,152,4
02085,4252,P.P.,PARTIDO POPULAR,119,3
02086,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,911,6
02086,4252,P.P.,PARTIDO POPULAR,680,4
02086,5395,YSM,YESTE SE MUEVE,264,1
03001,3103,IAF,INICIATIVA PER L'ATZUBIA I FORNA,236,4
03001,4252,P.P.,PARTIDO POPULAR,154,3
03002,4253,PP,PARTIDO POPULAR,1181,5
03002,0831,AIA -COMPROMÍS,AIA - COMPROMÍS PER AGOST: COMPROMÍS,719,3
03002,4349,PSOE,"PARTIDO SOCIALISTA OBRERO ESPAÑOL, PSOE",649,3
03003,3685,AGRES-COMPROMÍS,JUNTS PER AGRES:COMPROMÍS,186,4
03003,4252,P.P.,PARTIDO POPULAR,133,2
03003,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,51,1
03004,4345,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL (P.S.O.E.),287,4
03004,4263,P.P.,PARTIDO POPULAR (P.P.),119,2
03004,3054,I.I.,INICIATIVA INDEPENDIENTE,76,1
03004,1614,COMPROMIS,COMPROMÍS PER AIGÜES: COMPROMÍS,22, 
03005,4252,P.P.,PARTIDO POPULAR,2533,8
03005,4461,P.S.V.-P.S.O.E.,PARTIT SOCIALISTA VALENCIA-PSOE,2115,6
03005,1456,C's,CIUDADANOS-PARTIDO DE LA CIUDADANIA,669,2
03005,5163,UPyD,UNIÓN PROGRESO Y DEMOCRACIA,475,1
03006,4252,P.P.,PARTIDO POPULAR,210,4
03006,1627,COMPROMIS,COMPROMÍS PER ALCALALI: COMPROMÍS,205,3
03006,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,93,1
03006,2225,EUPV-ERPV-LVPV-AS:AC,ESQUERRA UNIDA PAÍS VALENCIÀ-ESQUERRA REPUBLICANA PAÍS VALENCIÀ-LOS VERDES-ALTERNATIVA SOCIALISTA: ACORD CIUTADÀ,85,1
03006,3986,MOVIMIENTO RED,"MOVIMIENTO DE RENOVACIÓN DEMOCRATICA CIUDADANA,MOVIMIENTO RED",17, 
03007,4252,P.P.,PARTIDO POPULAR,66,5
03007,1632,COMPROMÍS,COMPROMÍS PER ALCOSSER DE PLANES: COMPROMÍS,40, 
03007,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,25, 
03008,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,86,4
03008,4252,P.P.,PARTIDO POPULAR,53,1
03008,1631,COMPROMÍS,COMPROMÍS PER ALCOLEJA: COMPROMÍS,2, 
03009,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,9830,9
03009,2638,GA:AC,GUANYAR ALCOI:ACORD CIUTADÀ,6070,5
03009,1456,C's,CIUDADANOS-PARTIDO DE LA CIUDADANIA,4926,4
03009,4252,P.P.,PARTIDO POPULAR,4883,4
03009,1630,COMPROMÍS,COMPROMÍS PER ALCOI: COMPROMÍS,3958,3
03009,5163,UPyD,UNIÓN PROGRESO Y DEMOCRACIA,1083, 
03009,1373,C.E.T,CANVIEM ENTRE TOTS,619, 
03010,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,192,6
03010,4252,P.P.,PARTIDO POPULAR,61,1
03011,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,3000,12
03011,4252,P.P.,PARTIDO POPULAR,1316,5
03011,1457,C'S,CIUDADANOS-PARTIDO DE LA CIUDADANIA,554,2
03011,1374,CET,CANVIEM ENTRE TOTS,496,2
03011,1469,CPA'S,CIUDADANOS POR L'ALFAS,189, 
03011,2191,EUPV:AC,ESQUERRA UNIDA PAÍS VALENCIÀ: ACORD CIUTADÀ,154, 
03011,5164,UPYD,UNIÓN PROGRESO Y DEMOCRACIA,138, 
03012,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,506,6
03012,4252,P.P.,PARTIDO POPULAR,502,5
03013,4253,PP,PARTIDO POPULAR,467,5
03013,4349,PSOE,"PARTIDO SOCIALISTA OBRERO ESPAÑOL, PSOE",458,4
03013,1456,C's,CIUDADANOS-PARTIDO DE LA CIUDADANIA,62, 
03014,4252,P.P.,PARTIDO POPULAR,38490,8
03014,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,30526,6
03014,2637,GA:AC,GUANYAR ALACANT: ACORD CIUTADÀ,28156,6
03014,1456,C's,CIUDADANOS-PARTIDO DE LA CIUDADANIA,28132,6
03014,1616,COMPROMÍS,COMPROMIS PER ALACANT: COMPROMÍS,13582,3
03014,5163,UPyD,UNIÓN PROGRESO Y DEMOCRACIA,4129, 
03014,4103,PACMA,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,2207, 
03014,4149,P.C.P.E.,PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA (PCPE),920, 
03014,5373,VOX,VOX,859, 
03014,2081,E.C-JxA,ESPERANZA CIUDADANA-JUNTOS POR ALICANTE (E.C-JxA),501, 
03014,2265,FE de las JONS,FALANGE ESPAÑOLA DE LAS J.O.N.S.,372, 
03014,3056,Iniciativa Independiente,INICIATIVA INDEPENDIENTE,363, 
03014,4242,P-LIB,PARTIDO LIBERTARIO,221, 
03014,0970,A.R.AL.,ALTERNATIVA REGIONAL ALICANTINA,153, 
03014,3776,Lem,LA ESPAÑA EN MARCHA (LEM),86, 
03015,4252,P.P.,PARTIDO POPULAR,3465,7
03015,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,1797,4
03015,2194,EUPV:AC,ESQUERRA UNIDA PAIS VALENCIA: ACUERDO CIUDADANO,1718,3
03015,1456,C's,CIUDADANOS-PARTIDO DE LA CIUDADANIA,1718,3
03015,5270,VIA,VECINOS INDEPENDIENTES ALMORADI,335, 
03016,4252,P.P.,PARTIDO POPULAR,33,4
03016,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,23,1
03017,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,189,5
03017,4252,P.P.,PARTIDO POPULAR,96,2
03018,4252,P.P.,PARTIDO POPULAR,2625,7
03018,1644,COMPROMÍS,COMPROMÍS PER ALTEA: COMPROMÍS,2334,6
03018,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,1561,4
03018,1444,CI.P.AL.,CIUDADANOS INDEPENDIENTES POR ALTEA,823,2
03018,0869,ALTEA AMB TRELLAT,ALTEA AMB TRELLAT,783,2
03018,5163,UPyD,UNIÓN PROGRESO Y DEMOCRACIA,326, 
03018,2217,EUPV-ERPV:AC,ESQUERRA UNIDA PAÍS VALENCIÀ - ESQUERRA REPUBLICANA: ACORD CIUTADÀ,208, 
03019,4253,PP,PARTIDO POPULAR,3640,8
03019,2196,EUPV: AC,ESQUERRA UNIDA PAÍS VALENCIÀ: ACUERDO CIUDADANO,3465,7
03019,4349,PSOE,"PARTIDO SOCIALISTA OBRERO ESPAÑOL, PSOE",2421,5
03019,5283,VESPA,VECINOS POR ASPE (VESPA),812,1
03020,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,62,4
03020,4252,P.P.,PARTIDO POPULAR,30,1
03020,1647,COMPROMÍS,COMPROMÍS PER BALONES: COMPROMÍS,1, 
03021,4252,P.P.,PARTIDO POPULAR,1725,5
03021,1648,COMPROMÍS,COMPROMÍS PER BANYERES DE MARIOLA: COMPROMÍS,1467,5
03021,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,815,2
03021,1456,C's,CIUDADANOS-PARTIDO DE LA CIUDADANIA,377,1
03022,2287,FP-FB:AC,FEM POBLE. FEM BENASAU: ACORD CIUTADÀ,89,5
03022,4252,P.P.,PARTIDO POPULAR,15, 
03023,4252,P.P.,PARTIDO POPULAR,546,4
03023,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,363,3
03023,3697,JPB,JUNTS PER BENEIXAMA,283,2
03024,4252,P.P.,PARTIDO POPULAR,1623,7
03024,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,1209,5
03024,4927,SBI,SOY DE BENEJUZAR- INDEPENDIENTE,424,1
03025,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,634,5
03025,4252,P.P.,PARTIDO POPULAR,446,4
03026,4252,P.P.,PARTIDO POPULAR,463,5
03026,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,452,4
03027,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,111,4
03027,4252,P.P.,PARTIDO POPULAR,50,1
03028,4252,P.P.,PARTIDO POPULAR,452,5
03028,1654,COMPROMÍS,COMPROMÍS PER BENIARRÉS: COMPROMÍS,259,2
03028,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,190,2
03030,1657,COMPROMÍS,COMPROMÍS PER BENIDOLEIG: COMPROMÍS,284,4
03030,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,247,4
03030,4252,P.P.,PARTIDO POPULAR,77,1
03031,4252,P.P.,PARTIDO POPULAR,6709,8
03031,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,5416,7
03031,1466,CBM,CIUDADANOS POR BENIDORM,3062,3
03031,1456,C's,CIUDADANOS-PARTIDO DE LA CIUDADANIA,2491,3
03031,3834,LIBERALES,LIBERALES DE BENIDORM,2232,2
03031,1563,COMPROMÍS,COMPROMÍS- LOS VERDES BENIDORM: COMPROMÍS,1740,2
03031,2172,EUPV,ESQUERRA UNIDA DEL PAIS VALENCIA,955, 
